건물명,지번 주소,준공년월,관리실 번호,관리실 위치,공동현관,주차장 높이,호실 층고,방화문 타입,공용시설,메모
롯데캐슬르웨스트,마곡동 767-4,2024. 8. 28,,,공동현관 1254 + 확인,,,,,"풀퍼니쉬드 인테리어 (인덕션 양문형냉장고 드럼세탁기 건조기 빌트인김치냉장고 전기오븐 빌트인정수기 음식물처리기 욕실 사계절 온풍기)
단지내 커뮤니티시설:피트니스센터 골프연습장 카페테리아 키즈카페 스터디카페 등
지하6층 ~지상 15층 총5개동
876세대 총주차 1426대 (오피스텔 956대 1.09:1)

□ 매물정보
◎ 교통 : 9호선급행 공항철도 5호선(마곡역)
마곡역과 마곡나루역은 지하공공보행통로로 연결됩니다.

◎ 편의시설 : 단지내커뮤니티시설
(피트니스, 실내골프연습장,다이닝카페, 맘스라운지, 스터디룸, 와인
라운지)
단지내앞 근린공원및 서울식물원중앙공원,
트레이더스, 원그로브, 마곡코엑스, LG아트센터등

◎ 실내 옵션및 인테리어
* 풀옵션
(빌트인양문형냉장고밀 김치냉장고, 렌지후드, 3구인덕션, 빌트인세
탁기,건조기.
빌트인 전기오븐, 빌트인 정수기, 음식물처리기 등등)

* 욕실 : 사계절냉온풍기, 욕실1은 욕조도 있어요.

* 기타 :
> 이탈리아산 아트월 및 원목마루, 중문 ,고효율LED 조명 등

₩ 롯데캐슬 르웨스트 매매및 임대문의 365일 상담환영합니다.
고객의 소중한 자산을 연구하고 고객의 행복한 미래를 디자인합니다.
사진은 실제 호수의 사진입니다 ^^"
"루나클래식 (101동,102동)",등촌동 630-4,2021. 10. 29,,,,,,,,
루나플라체,등촌동 725,2021.03.12,,,,,,,,
루체브릿지,마곡동 797-12,2017.01.24,,,,,,,,
류마타워,마곡동 798-2,2019.04.18,02-2064-0303,,,,,,,
류마타워 2차,마곡동 798-6,2019.10.11,02-2064-0544,,,,,,,
르보아1차,마곡동 793-6,2015.01.04,02-2658-6007,,#2862#,,,,,
르보아2차,마곡동 739-2,2015.04.30,02-2666-8376,,10#9999#,,,,,
리더스애비뉴,마곡동 791-7,2020년 07월 31일,010-9256-7633,지하1층,,,,유리문,,분리수거장 지하2층 전기차충전 지하3층 주차 75대 지하3층~지상5층
리더스퀘어,마곡동 772-5,2017.05.19,,,,,,,,
리더스타워,마곡동 800-5,2018.12.14,02-3665-7722,,,,,,,
리버아트빌,가양동 146-41,2017. 1. 9,,,,,,,,
링크253 도생(단지형다세대),염창동 253,2016.08.09,,,,,,,,
마곡 에스비타운,마곡동 739-3,2015.01.16,,,,,,,,
마곡W타워(신방화역),마곡동 739-1,2016.04.14,,,,,,,,
마곡대림밸리,공항동 673-10,2019.12.04.,,,,,,,,
마곡리치빌 (다세대),공항동 19-40,2019.09.17,,,,,,,,
마곡미라클,방화동 186-3,2023. 8. 8,,,,,,,,
마곡스카이 비단지,마곡동 1245,2024. 6. 20,,,,,,,,
마곡씨티,마곡동 758,2016.07.27,02-6203-2548,,#408#7564 공동#620#6551,,,,,
마곡엠타운 (도생 단지형 다세대),방화동 589-24,2019.10.16,,,,,,,,
마곡제이엠팰리스,방화동 274-2,2022.08.24.,,,,,,,,
마곡청구아파트,방화동 859,,,,,,,,,
마곡파크뷰,가양동 275-1,2017.12.05,010 6335 0882,,1234종,,,,,
마커스빌딩,마곡동 774-12,2017.07.14,,,,,,,,
매그넘 793,마곡동 793-7,2020.02.28,,,,,,,,
매그넘 797,마곡동 797-9,2018.12.12,02-2659-7100,,,,,,,
메가타워,마곡동 798-9,2020.06.04,,,,,,,,
메트로비즈타워,마곡동 799-6,2019.08.30,02-2666-9974,지하1층,,2.3미터,,유리문(화장실은 방화문),확인못함,지하4층 전기차충전기 3면 있음 주차운영 나이스파크 10분 무료회차 10분당 500원
메트로칸,등촌동 656-52,2013. 10. 28,,,,,,,,
문영 비즈웍스,마곡동 794,2015.12.29,,,,,,,,
미래안포레,화곡동 1105,2022. 4. 18,,,,,,,,
미르웰1차,마곡동 784,2015.05.08,02-2658-3306,,#*1234#,,,,,
미르웰플러스,마곡동 784-4,2015.12.11,02-3662-3290,,#9999#,,,,,
발산 W타워,마곡동 800-4,2018.03.30,070-8620-0571~2,,,,,,,
발산 파크프라자,마곡동 797-4,2016.05.13,,,,,,,,
방화3단지 청솔아파트,303동 1402호,2023. 8. 17,,,,,,,,
베스트카운티,등촌동 828,2020.05.29,02-3662-7452 관리소장 010-6269-7820,,종 9184,,,,,
벨리오,마곡동 784-8,2015.04.23,02-2658-2060,,,,,,,
벽산아파트,마곡동 429,1999.06.25.,02-3663-5256,,,,,,,
보승회관건물,,2025. 3. 20,,,,,,,,
보타닉 비즈타워,마곡동 757-3,2017.04.19,02-2659-7727,,,,,,,
보타닉 파크타워 3차,마곡동 771-3,2019.01.21,02-2668-8021,,,,,,,
보타닉 파크타워2차,마곡동 774-2,2018.05.11,02-2668-8020,,,,,,,
보타닉스타뷰,,2025. 6. 11,,,,,,,,
보타닉투웨니퍼스트,가양동 257-1,2020.06.17,관리비정산 010-9144-1060 관리사무소 070-4789-3735 관리소장님(평일연락은여기로) 010 4039 3742,,종 7093,,,,,
보타닉파크타워1차,마곡동 759-3,2017.05.11,02-3663-8622,,,,,,,
보타닉파크타워3차,마곡동 771-3,2019.01.21,02-2668-8021,,,,,,,
보타닉파크프라자,마곡동 777-5,2018.09.11,02 2658 7300,,,,,,,
보타닉푸르지오시티,마곡동 760,2017.02.24,02 2658 1306,,#1306,,,,,
사이언스타,마곡동 774-9,2017.07.04,02-3665-7441,,,,,,,
사이언스타워,마곡동 796-3,2016.12.27,,,,,,,,
사이언스타워 2차,마곡동 799-5,2019.05.02,02-2661-4999,지하1층,,2.3미터,,유리문,미확인,주차할인가능 최대시간은 3시간 주차할인은 1일 1회로 제한됨(회차불가능) 무료회차시간은 20분
사이언스파크뷰,마곡동 795-5,2016.07.15,02-6338-1700,,,,,,,
삼성블루밍,가양동 184-5,2017.08.11,02-833-0012,,,,,,,
샬롬하우스 (마곡파크뷰 앞 다가구),가양동 274-3,,,,0501샵,,,,,
세종보타닉1차,마곡동 12-2,2020.01.08,02-3665-8881,,#4717,,,,,
세종보타닉2차,가양동 251-2,2020.09.02,,,#4732,,,,,
센터스퀘어 발산,내발산동 767,2025. 3. 27,,,,,,,,
센테니아,마곡동 774-3,2018.07.06,02-3663-9138,,,,,,,
센트럴시티,등촌동 656-57,2020.10.15.,전화 02-6949-6760  팩스 02-6949-6761,,,,,,,
센트럴타워 1차,마곡동 774-4,2016.09.01,02-2666-7712,,,,,,,
센트럴타워 2차,마곡동 759,2017.04.25,,,,,,,,
센트럴푸르지오시티,마곡동 773-1,2016.06.03,02-3663-1988,,,,,,,
수명산파크 4단지,내발산동 753,2008.02.20.,02-2667-4114,,,,,,,
스카이,마곡동 784-3,2016.02.04,02-2658-6688,,종 2468,,,,,
스프링파크타워,마곡동 738-3,2018.10.29,,,,,,,,
시정헌,가양동 1501,2013.11.06,,,,,,,,
씨엘하임,가양동 274-6,2014. 9. 15,,,,,,,,
아르디에,마곡동784-13,2015.05.06,02-3665-9269,,10#9999#,,,,,
아벨테크노,등촌동 628-7,2018. 11. 16,,,,,,,,
아이파크,마곡동 795-2,2016.12.29,02-3665-9997,,"#9964#*
#412*3690#",,,,,
아이파크디어반(지산),마곡동 783,2024. 7. 26,,,,,,,,
아트리버빌5차 (도생 및 오피스텔),가양동 237-1,2018.04.12.,,,종1234,,,,,
안강 프라이빗 1차,마곡동 757-5,2017.01.26,02-3662-3633,,,,,,,
안강 프라이빗 2차,마곡동 757-2,2017.03.28,02-3662-6090,,,,,,,
양천골흑염소건물,가양동 155-8,,,,,,,,,
양평빌딩(양평동소재),영등포로21,,010-6775-7301,,,,,,,
양화진 빌딩,염창동 265-1,1995. 6. 3,010-3703-0316 건물주번호,,,,,,,
어울림(공항동 다가구),공항동57-28,,,,,,,,,
에비앙,마곡동 793-3,2015.08.21.,02-2659-0192,,#8282#,,,,,
에이스 프라자,마곡동 772-8,2016.05.31,,,,,,,,
에이스타워,마곡동 797,2019.02.15,02-2668-6677,,,,,,,
에이스타워 2차,마곡동 798-5,2019.10.18,02-2664-3322,,,,,,,
에테르힐스,공항동 45-11,2023. 9. 19.,,,,,,,,
엘리안,마곡동 793-4,2015.03.26,02-3662-8606,,,,,,,
엠 펠리체 호텔,마곡동 797-10,2017.06.28,,,,,,,,
엠리체,마곡동 798-12,2019.10.24,02-2064-0780,,,,,,,
엠밸리W타워3차(엠밸리15단지쪽),마곡동 799-16,,,,,,,,,
엠벨리1단지아파트,,,,,102동 공동현관 10#9812#,,,,,
엠비즈타워,마곡동 798-8,2019.09.30,,,,,,,,
엠시그니처,마곡동 798-14,2019.10.23,02-2666-9755,5층,,지하2층2.7미터 지하3.4층 2.3미터,,철문,,
엠코,마곡동 776-4,2015.08.28,02-3662-8560,,##4088,,,,,
열린M타워(발산역),마곡동 801-1,2018.07.23,02-2661-3201,,,,,,,
열린엠타워 3차,마곡동 798-10,2019.09.23,,,,,,,,
열린프라자,마곡동 795-7,2016.01.25,,,,,,,,
오드1차,마곡동784-11,2016.11.11,02-3662-1793,,#2030#,,,,,
오드2차,마곡동 784-9,2017.06.26,02-3665-1799,,#1234#,,,,,
우림블루나인,염창동 240-21,,,,,,,,,
우성빌라,가양동 251-7,2023. 9. 19,,,,,,,,
우성에스비타워,마곡동 794-1,2017.01.26,,,,,,,,
우성에스비타워 2차,마곡동 800-3,2018.04.09,02-2664-8513,,,,,,,
우성에스비타워 3차,마곡동 798-4,2019.09.26,02-2064-0303,,,,,,,
우신빌라트,가양동 253,2001.11.09.,,,,,,,,
원타워5차,화곡동 987-7,2021.12.28,,,,,,,,
유림트윈파크,마곡동 793,2015.11.20,02-3661-0330,,A동 303#0528# B동 309#0361#,,,,,
이너매스 1차,마곡동 771-4,2018.12.21,02-2659-3801,,,,,,,
이너매스 2차,마곡동 800-15,2019.10.17,02-2665-8870,,,,,,,
이웰 메디파크,마곡동 801-7,2019.04.24,,,,,,,,
인터시티365,마곡동 797-11,2015.08.21,010-8398-7405,,,,,,,
일성트루엘,마곡동 758-2,2016.06.29,02-2658-8185,,A동 904#0419#,,,,,
장군주먹고기 (가양동 184-1),가양동 184-1,1989.12.22.,임대인 010-5265-4366,,,,,,,
장흥빌딩,마곡동 774-8,2017.12.01,02-3662-6688,,,,,,,
지엠지타워,마곡동 773-2,2015.12.07,,,,,,,,
지웰,가양동 194-2,2014.08.05,02-3662-6304,,2580,,,,,
지웰타워,마곡동 799-4,2019.01.03,02-2667-0520,,,,,,,
지투프라자,마곡동 796-6,2016.10.28,,,,,,,,
청람아트빌,마곡동 6-4,2018.05.10.,010-3203-7055 (2020년기준),,종1234,,,,,
청솔씨티빌,마곡동 4-2,2014.11.27.,,,,,,,,
퀸즈파크 11차,마곡동 800-1,2018.11.29.,02-6373-4000,,,,,,,
퀸즈파크 12차,마곡동 799-3,2019.06.12,02-6309-9100,,,,,,,
퀸즈파크 13차,마곡동 798-11,2019.12.24,02-2666-9737,,,,,,,
퀸즈파크 나인,마곡동 797-1,2017.07.07,02-6421-9000,,,,,,,
퀸즈파크 텐,마곡동 797-7,2018.03.08,02-6411-900,,,,,,,
크로바타운,,2003. 12. 31,,,,,,,,
크리스아크,가양동 250-1,2021.01.22,,,,,,,,
테크노타워,마곡동 796-5,2017.05.02,,,,,,,,
테크노타워2차,마곡동 799-17,2019.09.27,02-6959-9384,,,,,,,
투웨니퍼스트 강서마곡,화곡동 1097-9,2021.09.16,,,,,,,,
파인스퀘어,마곡동 799-11,2019.12.19,"A동 02-2667-0154
B동 02-2667-0154",,,,,,,
파크뷰에버,화곡동 987-1,2020.03.20,02-2699-9721,,,,,,,
평안빌딩,등촌동 682,2000.11.29,,,,,,,,
푸리마타워,마곡동 799-2,2019.04.01,02-2662-7757,,,,,,,
플래티노,가양동 187-7,2020.07.16,,,공동현관문 종3690,,,,,
플레이스,마곡동 793-9,2015.06.22,02-2659-6982,,,,,,,
필네이처,마곡동 795-1,2016.07.18,02-2658-2748,,#9999#,,,,,
한강G트리타워,강서구 염창동 261-4,2022.05.18.,,,,,,,,
한일노벨리아타워,마곡동 798-17,2020.06.29,02-2666-7800,,,,,,,
해태아파트,공항동 1371,2000.09.25.,02-2661-2430,,,,,,,
헤리움1차,마곡동 739-4,2015.07.29,02-2661-6011,,10#9999#*,,,,,
헤리움2차,마곡동 758-3,2016.04.26,02-2063-4001,,0407#0603#,,,,,
헬리그라프,공항동 8-5,2025. 3. 11,,,,,,,,
헬리그라프마곡에디션,공항동 8-5,2024. 2. 8,,,,,,,,
현대센트럴가양,등촌동 640-2,2021.05.20,,,,,,,,
호성스카이,가양동 57-11,2020.06.02,관리소장님 010-5306-8570,,#*1205# 혹은 별제외,,,,,
힐스나루,마곡동 760-1,2017.01.04,02-2058-2446,,,,,,,
힐스동익,마곡동 773-3,2017.03.17,02-3665-8542,,1322#9087#,,,,,
힐스마곡역,마곡동 773,2017.12.13,02-3664-2110,,##3340,,,,,
힐스발산,마곡동 797-14,2016.04.14,02-2666-7702,,,,,,,
